,Af19,Af18,Af20,Ar21,Ar22,Af17,Af16,Af14,Ar55,Ar15,Ar13,Ar12,Ajus,Ar54,Ar53,Ar49,Ar45,Ar48
Af19,0.000,0.170,0.454,0.410,0.370,0.397,0.454,0.283,0.335,0.413,0.378,0.432,0.401,0.379,0.375,0.420,0.319,0.380
Af18,-0.086,0.000,0.160,0.102,0.069,0.110,0.160,-0.045,0.042,0.095,0.062,0.122,0.094,0.098,0.079,0.116,0.028,0.066
Af20,-0.039,-0.090,0.000,0.013,0.051,0.115,0.000,0.000,0.051,0.000,0.000,0.000,0.051,0.159,0.062,0.077,0.013,0.000
Ar21,0.205,0.188,0.192,0.000,0.031,0.081,0.013,-0.128,0.031,-0.003,-0.039,0.001,0.031,0.087,0.041,0.045,0.000,-0.003
Ar22,0.191,0.171,0.177,-0.074,0.000,0.088,0.051,-0.091,0.051,0.031,0.022,0.038,0.051,0.078,0.058,0.062,0.020,0.002
Af17,-0.045,-0.097,-0.083,0.189,0.173,0.000,0.115,-0.038,0.088,0.077,0.058,0.092,0.088,0.107,0.085,0.103,0.044,0.077
Af16,-0.038,-0.090,-0.076,0.191,0.175,-0.082,0.000,0.000,0.051,0.000,0.000,0.000,0.051,0.159,0.062,0.077,0.013,0.000
Af14,-0.092,-0.148,-0.131,0.170,0.149,-0.138,-0.134,0.000,-0.091,-0.132,-0.132,-0.132,-0.091,-0.026,-0.083,-0.070,-0.128,-0.132
Ar55,0.161,0.133,0.145,-0.056,-0.057,0.140,0.143,0.106,0.000,0.031,0.002,0.038,0.051,0.078,0.058,0.062,0.020,0.031
Ar15,0.194,0.172,0.182,-0.065,-0.066,0.177,0.179,0.146,-0.052,0.000,0.000,0.000,0.031,0.069,0.024,0.038,0.008,0.000
Ar13,0.137,0.106,0.119,-0.059,-0.061,0.114,0.118,0.077,-0.066,-0.059,0.000,-0.029,-0.020,0.038,-0.031,-0.023,-0.010,0.000
Ar12,0.185,0.160,0.172,-0.057,-0.058,0.166,0.169,0.132,-0.046,-0.058,-0.056,0.000,0.038,0.100,0.004,0.051,0.010,0.000
Ajus,0.150,0.119,0.133,-0.055,-0.055,0.127,0.132,0.093,-0.049,-0.050,-0.054,-0.058,0.000,0.078,-0.015,-0.060,-0.011,0.031
Ar54,0.090,0.052,0.069,-0.036,-0.040,0.062,0.068,0.018,-0.043,-0.035,-0.054,-0.045,-0.062,0.000,0.068,0.103,-0.023,0.069
Ar53,0.207,0.182,0.197,-0.002,-0.003,0.191,0.195,0.158,0.004,-0.006,-0.009,-0.021,-0.009,-0.001,0.000,-0.017,0.001,0.044
Ar49,0.138,0.108,0.120,-0.064,-0.065,0.114,0.119,0.081,-0.058,-0.055,-0.066,-0.057,-0.060,-0.059,-0.008,0.000,-0.011,0.038
Ar45,0.138,0.109,0.120,-0.066,-0.067,0.115,0.119,0.082,-0.058,-0.056,-0.064,-0.055,-0.066,-0.062,-0.005,-0.071,0.000,0.008
Ar48,0.178,0.154,0.164,-0.061,-0.059,0.159,0.163,0.131,-0.049,-0.054,-0.056,-0.064,-0.060,-0.050,-0.015,-0.064,-0.062,0.000
